StateProtocolName,StartYear,EndYear,WiscIndex,IndexOther,SkyCode,SkyCodeOther,WindCode,WindCodeOther,NoiseIndex,NoiseIndexOther,StopsInOrder,OneNightOnly,StopsPerRoute,StopDistance,StopDistanceOther,StopPlacement,StopPlacementOther,NumObs,NumObsOther,WaitingPd,ListeningPd,ListeningPdOther,ListeningExt,,,,,,
Louisiana I,1997,1997,0,"""1=one or two frogs calling; 2=more than one or two frogs calling but individual calls still distinct; 3=too many frogs calling for individual calls to be distinct""",0,Percent cloud cover,1,NULL,1,NULL,1,1,1,1,NULL,1,NULL,3,NULL,3,1,NULL,3,,,,,,
Louisiana II,1998,1999,0,"""1=one or two frogs calling; 2=more than one or two frogs calling but individual calls still distinct; 3=too many frogs calling for individual calls to be distinct""",0,Percent cloud cover,1,NULL,1,NULL,1,1,1,1,NULL,1,NULL,3,NULL,3,1,NULL,3,,,,,,
Louisiana III,2000,2000,0,"""1=one or two frogs calling; 2=more than one or two frogs calling but individual calls still distinct; 3=too many frogs calling for individual calls to be distinct""",0,Percent cloud cover,1,NULL,1,NULL,1,1,1,2,NULL,1,NULL,1,NULL,2,1,NULL,3,,,,,,
Maine I,1997,1997,1,NULL,0,"""0=no precipitation; 1=snow, 2=sleet or freezing rain; 3=rain; 4= drizzle or mist; 5=fog; 8=definition unknown""",1,NULL,4,"""Noise index data not compatible with NAAMP database's format (data not available from data download); E= 'Excellent' no auditory interference such as wind or traffic or machinery; F= 'Fair' some auditory interference but not enough to compromise the survey; P='Poor' auditory interference may or may not cause survey to extend an extra 2 minutes""",1,1,4,2,NULL,1,NULL,2,NULL,2,1,NULL,2,,,,,,
Maine II,1998,2000,1,NULL,0,"""0=no precipitation; 1=snow, 2=sleet or freezing rain; 3=rain; 4= drizzle or mist; 5=fog; 8=definition unknown""",1,NULL,4,"""Noise index data not compatible with NAAMP database's format (data not available from data download); E= 'Excellent' no auditory interference such as wind or traffic or machinery; F= 'Fair' some auditory interference but not enough to compromise the survey; P='Poor' auditory interference may or may not cause survey to extend an extra 2 minutes""",1,1,2,2,NULL,1,NULL,2,NULL,2,1,NULL,2,,,,,,
Maryland I,1999,1999,1,NULL,1,NULL,1,NULL,1,NULL,1,1,1,2,NULL,1,NULL,1,NULL,2,1,NULL,3,,,,,,
Maryland II,2000,2000,1,NULL,1,NULL,1,NULL,1,NULL,1,1,1,2,NULL,1,NULL,1,NULL,3,3,NULL,3,,,,,,
Minnesota I,1996,2000,1,NULL,0,"""0=Clear or only a few clouds; 1=Partly cloudy or variable; 2=Broken clouds or overcast; 4=Fog; 5=Drizzle; 6=Showers""",0,"""0= (<1mph) smoke rises vertically; 1= (1-3mph) wind direction shown by smoke drift; 2= (4-7mph) wind felt on face and leaves rustle; 3= (>8mph) leaves and small twigs in constant motion and wind extends light flag""",4,"""Any noise issues were described in datasheet 'Comments' section""",1,1,1,2,NULL,1,NULL,3,NULL,3,1,NULL,3,,,,,,
Minnesota II,1994,1995,1,NULL,0,"""0=Clear or only a few clouds; 1=Partly cloudy or variable; 2=Broken clouds or overcast; 4=Fog; 5=Drizzle; 6=Showers""",0,"""0= (< 1mph) smoke rises vertically; 1= (1-3mph) wind direction shown by smoke drift; 2= (4-7mph) wind felt on face and leaves rustle; 3= (8-12mph) leaves and small twigs in constant motion and wind extends light flag; 4= (13-18mph) raises dust and loose paper and small branches move""",4,"""Any noise issues were described in datasheet 'Comments' section""",1,1,1,3,"""Different habitat types; distance not specified""",1,NULL,3,NULL,3,4,5 to 10 minutes,3,,,,,,
Pennsylvania,2000,2000,0,"""1=No frogs of a given species are heard calling; 2=Individuals of a given species can be heard with space between the calls; 3=Call of individuals of a given species can still be discerned but there is some overlap between individuals; 4=Full chorus for the species where calls are constant and overlapping with no distinguishable individuals in chorus""",0,"""0=Clear or only a few clouds; 1=Partly cloudy or variable; 2=Heavy cloud cover; 3=Drizzle; 4=Showers; 5=Fog""",1,NULL,1,NULL,1,1,3,2,NULL,1,NULL,2,NULL,2,1,NULL,3,,,,,,
Texas,2001,2001,1,NULL,1,NULL,1,NULL,3,"""1= 'low' did not affect ability to hear calls; 2= 'medium' intermittentently affected ability to hear calls; 3= 'high' consistently affected ability to hear calls""",1,1,1,2,NULL,1,NULL,1,NULL,3,3,NULL,3,,,,,,
Vermont,1997,2000,0,"""1=You can clearly hear all individuals of a species and count them easily with ample space (time) between calling individuals; 2=Some overlap of calls between individuals of a species, but not so much as to make an accurate count impossible; 3= A full chorus where calls for a species are constant, continuous, and overlapping""",0,"No codes used.  Surveyors were to ""estimate cloud cover as a percentage of visible sky"" and ""describe current percipitation (if any).""",1,NULL,1,NULL,0,0,1,1,NULL,1,NULL,4,Not specified in the protocols,1,1,NULL,3,,,,,,
Virginia,1999,2000,1,NULL,1,NULL,1,NULL,1,NULL,1,1,1,2,NULL,1,NULL,1,NULL,1,3,NULL,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
