SurveyYear,RouteNumber,RunNumber1,OrdinalDate1,RunID1,RunNumber2,OrdinarlDate2,RunID2,RunNumber3,OrdinalDate3,RunID3,RunNumber4,OrdinalDate4,RunID4
2001,510503,1,0,136,2,34.8,177,3,60.0,197,,,
2001,211101,1,0,137,2,26.129032258064516,179,3,60.0,192,,,
2001,460503,1,0,138,2,28.314606741573034,304,3,60.0,305,,,
2001,460203,1,0,139,2,34.285714285714285,9825,3,60.0,262,,,
2001,460704,1,0,141,2,31.304347826086957,321,3,60.0,9681,,,
2001,460708,1,0,9730,2,29.690721649484537,9731,3,60.0,9732,,,
2001,460505,1,0,143,2,20.666666666666664,309,3,60.0,310,,,
2001,211102,1,0,145,2,29.18918918918919,785,3,60.0,243,,,
2001,420211,1,0,146,2,24.17910447761194,147,3,60.0,189,,,
2001,420311,1,0,153,2,17.00787401574803,148,3,60.0,208,,,
2001,420316,1,0,149,2,17.00787401574803,150,3,60.0,209,,,
2001,420310,1,0,151,2,39.25233644859813,214,3,59.99999999999999,225,,,
2001,420411,1,0,152,2,23.149606299212596,219,3,60.0,218,,,
2001,420312,1,0,154,2,23.243243243243246,155,3,60.0,296,,,
2001,420210,1,0,156,2,20.0,223,3,60.0,224,,,
2001,420110,1,0,157,2,18.52941176470588,220,3,60.0,227,,,
2001,420516,1,0,158,2,31.42857142857143,221,3,60.0,222,,,
2001,420412,1,0,159,2,23.142857142857142,160,3,60.0,250,,,
2001,211001,1,0,162,2,21.875,171,3,60.0,207,,,
2001,210902,1,0,163,2,24.615384615384617,247,3,60.0,248,,,
2001,460706,1,0,167,2,33.78151260504202,206,3,60.0,328,,,
2001,210801,1,0,168,2,22.758620689655174,254,3,60.00000000000001,255,,,
2001,420111,1,0,211,2,34.95652173913044,213,3,60.0,187,,,
2001,420511,1,0,212,2,34.95652173913044,191,3,60.0,188,,,
2001,211202,1,0,200,2,35.45454545454545,201,3,59.99999999999999,202,,,
2001,210702,1,0,231,2,15.384615384615385,230,3,60.0,232,,,
2001,490519,1,0,234,2,36.33802816901408,235,3,60.0,236,,,
2001,460107,1,0,9722,2,28.333333333333336,9721,3,60.0,9724,,,
2001,490420,1,0,249,2,31.636363636363633,251,3,59.99999999999999,252,,,
2001,460108,1,0,9756,2,27.073170731707318,9755,3,60.0,9754,,,
2001,460104,1,0,9772,2,60.0,9773,,,,,,
2001,420515,1,0,267,2,29.291338582677167,274,3,60.0,268,,,
2001,420315,1,0,269,2,29.523809523809522,273,3,60.0,270,,,
2001,210601,1,0,277,2,24.0,278,3,60.0,279,,,
2001,460205,1,0,9670,2,60.0,283,,,,,,
2001,460304,1,0,284,2,60.0,285,,,,,,
2001,460307,1,0,286,2,29.032258064516128,287,3,60.0,288,,,
2001,460405,1,0,9713,2,29.30232558139535,9712,3,60.0,9711,,,
2001,460407,1,0,9668,2,49.857142857142854,9669,3,60.0,300,,,
2001,460501,1,0,9792,2,40.0,9794,3,60.0,9796,,,
2001,460504,1,0,9649,2,26.842105263157894,9650,3,60.0,9652,,,
2001,460508,1,0,9747,2,24.545454545454543,9743,3,59.99999999999999,9746,,,
2001,460604,1,0,9813,2,50.0,9816,3,60.0,9811,,,
2001,460703,1,0,9904,2,17.037037037037035,9907,3,60.0,9905,,,
2001,460803,1,0,325,2,19.411764705882355,9733,3,60.0,9734,,,
2001,420102,1,0,329,2,37.073170731707314,330,3,60.0,331,,,
2001,420202,1,0,332,2,60.0,333,,,,,,
2001,420502,1,0,334,2,28.59375,390,3,60.0,391,,,
2001,420302,1,0,335,2,34.285714285714285,336,3,60.0,337,,,
2001,490225,1,0,338,2,25.846153846153847,339,3,60.0,340,,,
2001,210202,1,0,344,2,59.99999999999999,343,,,,,,
2001,210302,1,0,345,2,34.285714285714285,346,3,60.0,347,,,
2001,210602,1,0,348,2,30.0,349,3,60.0,350,,,
2001,211002,1,0,352,2,34.16666666666667,353,3,60.0,354,,,
2001,211301,1,0,355,2,28.941176470588236,356,3,60.00000000000001,357,,,
2001,440205,1,0,359,2,25.573770491803277,360,3,60.0,438,,,
2001,900103,1,0,361,2,15.238095238095237,372,3,60.0,422,,,
2001,900104,1,0,362,2,28.83116883116883,373,3,60.0,423,,,
2001,900108,1,0,363,2,40.833333333333336,377,3,60.0,425,,,
2001,900114,1,0,364,2,23.5,381,3,60.0,451,,,
2001,900203,1,0,365,2,16.19047619047619,393,3,60.0,452,,,
2001,900305,1,0,366,2,18.333333333333336,401,3,60.0,458,,,
2001,900309,1,0,367,2,37.64705882352941,403,3,60.0,474,,,
2001,900314,1,0,368,2,22.564102564102562,405,3,59.99999999999999,476,,,
2001,900409,1,0,369,2,23.5,406,3,60.0,478,,,
2001,900510,1,0,371,2,60.0,411,,,,,,
2001,900113,1,0,392,2,22.956521739130434,380,3,60.0,450,,,
2001,900208,1,0,486,2,39.354838709677416,396,3,60.0,455,,,
2001,440113,1,0,426,2,24.545454545454543,427,3,60.0,428,,,
2001,440409,1,0,436,2,8.88888888888889,429,3,60.0,437,,,
2001,440306,1,0,430,2,13.846153846153847,431,3,60.0,439,,,
2001,440505,1,0,432,2,19.591836734693878,644,3,60.0,443,,,
2001,440118,1,0,441,2,27.096774193548388,434,3,60.0,442,,,
2001,440114,1,0,435,2,60.00000000000001,440,,,,,,
2001,440515,1,0,444,2,22.40963855421687,445,3,60.0,446,,,
2001,440102,1,0,459,2,31.875,460,3,60.0,461,,,
2001,440104,1,0,462,2,44.08163265306123,463,3,60.0,464,,,
2001,440110,1,0,469,2,14.516129032258064,470,3,60.0,471,,,
2001,440115,1,0,489,2,60.0,490,,,,,,
2001,440204,1,0,491,2,33.23076923076923,492,3,60.0,493,,,
2001,440206,1,0,494,2,22.5,495,3,60.0,496,,,
2001,440209,1,0,497,2,20.689655172413794,498,3,60.00000000000001,499,,,
2001,440210,1,0,500,2,10.64516129032258,501,3,60.0,502,,,
2001,440214,1,0,503,2,16.666666666666668,504,3,60.0,553,,,
2001,440215,1,0,505,2,26.785714285714285,506,3,60.0,507,,,
2001,440218,1,0,508,2,5.217391304347826,509,3,60.0,510,,,
2001,720214,1,0,511,2,32.0,512,3,60.0,513,,,
2001,720221,1,0,518,2,29.523809523809522,519,3,60.0,520,,,
2001,720413,1,0,523,2,33.88235294117647,521,3,60.00000000000001,522,,,
2001,720415,1,0,524,2,29.999999999999996,525,3,59.99999999999999,526,,,
2001,720308,1,0,535,2,26.956521739130434,536,3,60.0,537,,,
2001,720315,1,0,10798,2,32.53012048192771,10799,3,60.0,10800,,,
2001,720106,1,0,542,2,12.0,10089,3,60.0,541,,,
2001,720411,1,0,547,2,20.0,544,3,60.0,543,,,
2001,720103,1,0,10794,2,30.0,550,3,60.0,549,,,
2001,440301,1,0,554,2,31.57894736842105,555,3,60.0,556,,,
2001,440309,1,0,567,2,19.0,568,3,60.0,569,,,
2001,440313,1,0,570,2,16.8,571,3,60.0,572,,,
2001,440314,1,0,573,2,23.157894736842103,657,3,60.0,656,,,
2001,440315,1,0,575,2,60.0,576,,,,,,
2001,440404,1,0,577,2,24.0,578,3,59.99999999999999,579,,,
2001,440405,1,0,580,2,32.54237288135593,581,3,60.0,582,,,
2001,440413,1,0,584,2,38.8235294117647,585,3,60.0,586,,,
2001,440414,1,0,587,2,23.4375,588,3,60.0,589,,,
2001,440418,1,0,590,2,33.42857142857142,18430,3,60.0,18431,,,
2001,440504,1,0,591,2,34.61538461538461,592,3,59.99999999999999,593,,,
2001,440508,1,0,594,2,30.0,595,3,60.0,596,,,
2001,440509,1,0,597,2,22.0,598,3,60.0,599,,,
2001,440510,1,0,600,2,24.406779661016948,601,3,60.0,602,,,
2001,440513,1,0,603,2,19.148936170212767,604,3,60.0,605,,,
2001,440514,1,0,606,2,11.1864406779661,607,3,60.0,608,,,
2001,440613,1,0,609,2,12.786885245901638,610,3,60.0,611,,,
2001,440614,1,0,612,2,26.129032258064516,613,3,60.0,614,,,
2001,440615,1,0,615,2,22.894736842105264,616,3,60.0,617,,,
2001,440616,1,0,618,2,12.244897959183675,619,3,60.0,620,,,
2001,440619,1,0,621,2,15.692307692307693,622,3,60.0,623,,,
2001,440713,1,0,624,2,31.428571428571427,625,3,60.0,626,,,
2001,440714,1,0,627,2,15.180722891566266,628,3,60.0,629,,,
2001,440715,1,0,630,2,12.413793103448278,632,3,60.00000000000001,631,,,
2001,440718,1,0,633,2,60.0,634,,,,,,
2001,440814,1,0,635,2,26.538461538461537,636,3,59.99999999999999,637,,,
2001,440815,1,0,638,2,22.758620689655174,639,3,60.00000000000001,640,,,
2001,440914,1,0,641,2,60.0,642,,,,,,
2001,490217,1,0,647,2,18.0,648,3,60.0,649,,,
2002,390304,1,0,651,2,23.93617021276596,746,3,39.8936170212766,790,4,60.0,845
2002,250211,1,0,655,2,36.46153846153847,758,3,60.0,1410,,,
2002,510118,1,0,658,2,39.0,740,3,60.0,759,,,
2002,390103,1,0,661,2,17.483443708609272,742,3,34.17218543046357,784,4,59.99999999999999,837
2001,870105,1,0,663,2,60.0,664,,,,,,
2001,870107,1,0,665,2,28.83116883116883,666,3,60.0,667,,,
2002,510503,1,0,668,2,26.666666666666664,780,3,60.0,799,,,
2002,250104,1,0,674,2,27.874015748031496,770,3,60.0,815,,,
2001,870305,1,0,677,2,25.631067961165048,678,3,59.99999999999999,679,,,
2001,870308,1,0,680,2,38.4375,681,3,60.0,682,,,
