,RouteNumber,SurveyYear,x,y
0,510503.0,2001.0,4,10
1,510503.0,2002.0,3,7
2,510503.0,2003.0,23,36
3,510503.0,2004.0,10,39
4,510503.0,2010.0,39,35
5,510503.0,2011.0,4,8
6,510503.0,2012.0,5,14
7,510503.0,2015.0,9,0
8,211101.0,2001.0,5,36
9,211101.0,2002.0,0,33
10,211101.0,2003.0,30,27
11,211101.0,2004.0,23,11
12,211101.0,2005.0,23,11
13,211101.0,2006.0,5,35
14,211101.0,2007.0,16,24
15,211101.0,2009.0,30,2
16,211101.0,2012.0,7,16
17,211101.0,2013.0,34,39
18,211101.0,2014.0,23,9
19,211101.0,2015.0,13,11
20,460503.0,2001.0,3,35
21,460503.0,2002.0,30,22
22,460503.0,2000.0,0,33
23,460503.0,2003.0,10,4
24,460503.0,2004.0,6,1
25,460503.0,2005.0,21,13
26,460503.0,2006.0,16,26
27,460503.0,2007.0,20,11
28,460503.0,2012.0,19,11
29,460503.0,2013.0,9,7
30,460503.0,2014.0,18,9
31,460503.0,2015.0,18,9
32,460203.0,2001.0,8,17
33,460203.0,2002.0,35,10
34,460203.0,1999.0,36,27
35,460203.0,2000.0,29,26
36,460203.0,2003.0,35,29
37,460203.0,2004.0,13,20
38,460203.0,2005.0,9,22
39,460203.0,2006.0,38,27
40,460203.0,2007.0,8,2
41,460203.0,2008.0,0,3
42,460203.0,2009.0,24,3
43,460203.0,2010.0,12,18
44,460203.0,2011.0,11,1
45,460203.0,2012.0,0,8
46,460203.0,2013.0,35,10
47,460203.0,2014.0,11,3
48,460203.0,2015.0,34,24
49,460704.0,2002.0,16,26
50,460704.0,2003.0,18,8
51,460704.0,2005.0,5,35
52,460704.0,2013.0,17,20
53,460704.0,2014.0,37,6
54,460704.0,2015.0,14,30
55,460708.0,2001.0,14,12
56,460708.0,2002.0,38,3
57,460708.0,2003.0,11,10
58,460708.0,2004.0,29,21
59,460505.0,2001.0,11,13
60,460505.0,2002.0,25,22
61,460505.0,2003.0,34,33
62,460505.0,2005.0,0,33
63,460505.0,2014.0,13,8
64,460505.0,2015.0,12,13
65,211102.0,2001.0,14,12
66,211102.0,2003.0,38,22
67,211102.0,2004.0,39,3
68,211102.0,2005.0,21,37
69,211102.0,2013.0,20,22
70,211102.0,2014.0,29,26
71,420211.0,2001.0,37,8
72,420211.0,1997.0,4,19
73,420211.0,1998.0,8,25
74,420211.0,1999.0,8,21
75,420211.0,2008.0,10,28
76,420211.0,2009.0,0,0
77,420211.0,2010.0,26,29
78,420311.0,2001.0,16,1
79,420311.0,2002.0,27,26
80,420311.0,2003.0,3,20
81,420311.0,2004.0,7,39
82,420311.0,1997.0,0,27
83,420311.0,1998.0,5,13
84,420311.0,1999.0,5,17
85,420316.0,2001.0,2,9
86,420316.0,2002.0,3,15
87,420316.0,2003.0,3,20
88,420316.0,2004.0,1,16
89,420316.0,2005.0,20,22
90,420316.0,1999.0,6,10
91,420310.0,2001.0,6,8
