,RouteNumber,SurveyYear,x,y
0,510503.0,2001.0,17,18
1,510503.0,2002.0,25,0
2,510503.0,2003.0,13,0
3,510503.0,2004.0,12,24
4,510503.0,2010.0,20,28
5,510503.0,2011.0,3,25
6,510503.0,2012.0,19,11
7,510503.0,2015.0,21,28
8,211101.0,2001.0,5,20
9,211101.0,2002.0,10,20
10,211101.0,2003.0,11,24
11,211101.0,2004.0,15,14
12,211101.0,2005.0,1,22
13,211101.0,2006.0,11,21
14,211101.0,2007.0,8,11
15,211101.0,2009.0,20,20
16,211101.0,2012.0,13,12
17,211101.0,2013.0,19,4
18,211101.0,2014.0,11,5
19,211101.0,2015.0,14,13
20,460503.0,2001.0,28,11
21,460503.0,2002.0,15,1
22,460503.0,2003.0,7,15
23,460503.0,2004.0,9,15
24,460503.0,2005.0,29,9
25,460503.0,2006.0,22,4
26,460503.0,2007.0,24,1
27,460503.0,2012.0,5,3
28,460503.0,2013.0,7,13
29,460503.0,2014.0,13,4
30,460503.0,2015.0,14,10
31,460203.0,2001.0,17,18
32,460203.0,2002.0,12,6
33,460203.0,2003.0,7,12
34,460203.0,2004.0,10,7
35,460203.0,2005.0,12,22
36,460203.0,2006.0,23,7
37,460203.0,2007.0,7,9
38,460203.0,2008.0,20,7
39,460203.0,2009.0,29,3
40,460203.0,2010.0,0,22
41,460203.0,2011.0,1,10
42,460203.0,2012.0,22,28
43,460203.0,2013.0,1,13
44,460203.0,2014.0,22,23
45,460203.0,2015.0,14,11
46,460704.0,2001.0,20,5
47,460704.0,2002.0,4,19
48,460704.0,2003.0,14,12
49,460704.0,2004.0,2,6
50,460704.0,2005.0,1,22
51,460704.0,2013.0,19,4
52,460704.0,2014.0,22,24
53,460704.0,2015.0,12,9
54,460708.0,2001.0,1,7
55,460708.0,2002.0,13,28
56,460708.0,2003.0,29,16
57,460708.0,2004.0,23,4
58,460505.0,2001.0,9,19
59,460505.0,2002.0,7,19
60,460505.0,2003.0,4,24
61,460505.0,2014.0,14,24
62,460505.0,2015.0,21,7
63,211102.0,2001.0,19,17
64,211102.0,2003.0,29,16
65,211102.0,2004.0,24,15
66,211102.0,2005.0,17,0
67,211102.0,2014.0,13,4
68,420211.0,2001.0,21,21
69,420211.0,2008.0,25,0
70,420211.0,2009.0,13,24
71,420211.0,2010.0,3,4
72,420311.0,2001.0,4,2
73,420311.0,2002.0,12,7
74,420311.0,2003.0,22,17
75,420311.0,2004.0,6,9
76,420316.0,2001.0,4,2
77,420316.0,2002.0,12,7
78,420316.0,2003.0,22,17
79,420316.0,2004.0,4,4
80,420310.0,2001.0,29,19
81,420310.0,2002.0,5,21
82,420310.0,2003.0,24,1
83,420310.0,2004.0,21,5
84,420310.0,2006.0,7,2
85,420310.0,2007.0,2,28
86,420310.0,2008.0,22,3
87,420310.0,2009.0,1,25
88,420310.0,2005.0,11,8
89,420310.0,2010.0,18,16
90,420310.0,2011.0,13,6
91,420411.0,2001.0,0,26
92,420411.0,2002.0,28,11
93,420411.0,2003.0,25,27
94,420411.0,2004.0,17,13
95,420411.0,2008.0,22,9
96,420411.0,2011.0,5,2
97,420312.0,2001.0,4,2
98,420312.0,2002.0,20,17
99,420312.0,2003.0,27,27
100,420312.0,2004.0,12,19
101,420312.0,2005.0,11,19
102,420312.0,2009.0,15,27
103,420210.0,2001.0,2,24
104,420210.0,2002.0,8,13
105,420210.0,2003.0,25,27
106,420210.0,2004.0,0,15
107,420210.0,2005.0,11,21
108,420210.0,2006.0,3,4
109,420210.0,2008.0,13,12
110,420210.0,2010.0,18,14
111,420210.0,2011.0,13,4
112,420110.0,2001.0,6,2
113,420110.0,2002.0,9,11
114,420110.0,2003.0,25,19
115,420110.0,2004.0,21,5
116,420110.0,2006.0,5,1
117,420110.0,2007.0,2,25
118,420110.0,2008.0,0,12
119,420110.0,2009.0,15,29
120,420110.0,2010.0,12,13
121,420110.0,2011.0,14,6
122,420110.0,2012.0,29,6
123,420110.0,2013.0,2,11
124,420412.0,2001.0,14,11
125,420412.0,2007.0,20,5
126,420412.0,2008.0,25,2
127,420412.0,2009.0,13,24
128,420412.0,2010.0,1,5
129,211001.0,2001.0,18,22
130,211001.0,2004.0,22,4
131,211001.0,2012.0,28,28
132,210902.0,2001.0,29,14
133,210902.0,2003.0,13,20
134,210902.0,2004.0,7,16
135,210902.0,2005.0,18,15
136,210902.0,2009.0,17,26
137,210902.0,2010.0,0,22
138,210902.0,2012.0,2,24
139,210902.0,2013.0,5,9
140,210902.0,2014.0,29,6
141,210902.0,2015.0,16,3
142,460706.0,2001.0,20,5
143,460706.0,2002.0,6,0
144,460706.0,2003.0,13,20
145,460706.0,2004.0,7,16
146,460706.0,2005.0,25,19
147,460706.0,2006.0,4,21
148,460706.0,2007.0,6,9
149,460706.0,2008.0,25,14
150,460706.0,2009.0,9,23
151,210801.0,2001.0,11,14
152,210801.0,2003.0,22,6
153,210801.0,2006.0,24,15
154,210801.0,2009.0,26,7
155,210801.0,2010.0,26,21
156,210801.0,2011.0,1,18
157,210801.0,2012.0,25,8
158,210801.0,2013.0,2,11
159,420111.0,2001.0,3,29
160,420111.0,2004.0,23,7
161,420511.0,2001.0,11,5
162,420511.0,2004.0,23,7
163,420511.0,2005.0,27,7
164,211202.0,2001.0,7,16
165,211202.0,2002.0,18,10
166,211202.0,2004.0,1,13
167,211202.0,2014.0,14,6
168,210702.0,2001.0,17,18
169,210702.0,2002.0,3,28
170,210702.0,2003.0,4,11
171,210702.0,2004.0,11,7
172,210702.0,2005.0,16,24
173,210702.0,2006.0,2,16
174,210702.0,2007.0,6,9
175,210702.0,2009.0,21,13
176,210702.0,2010.0,2,3
177,210702.0,2011.0,6,16
178,210702.0,2012.0,2,17
179,210702.0,2013.0,5,11
180,210702.0,2015.0,14,11
181,460107.0,2001.0,6,4
182,460107.0,2002.0,22,9
183,460107.0,2003.0,16,11
184,460107.0,2004.0,7,16
185,460107.0,2005.0,12,13
186,460107.0,2010.0,17,0
187,460107.0,2011.0,1,18
188,460107.0,2012.0,14,24
189,460108.0,2001.0,21,2
190,460108.0,2002.0,29,13
191,460108.0,2003.0,6,12
192,460108.0,2004.0,22,4
193,460108.0,2005.0,1,5
194,420515.0,2001.0,3,23
195,420515.0,2002.0,20,28
196,420515.0,2003.0,1,3
197,420315.0,2001.0,3,23
198,420315.0,2002.0,20,28
199,420315.0,2003.0,1,3
200,210601.0,2001.0,6,16
